Gjennomsnitt,Høyeste,Laveste,Standardavvik
19881.14478494624,23414.45,16044.31,1599.451147769408
19411.15693452381,22580.13,15787.15,1370.5178956265445
17029.561914954338,21388.71,14062.85,1132.181911467545
15084.974767361111,18677.24,12629.49,1011.3376064139726
13551.68354502688,16529.73,11672.24,897.1865808982575
12772.582027777778,14514.56,10424.07,846.1270952782827
12119.086579301074,13918.77,8132.75,750.4582317003293
12982.595561155915,15308.68,10493.05,934.5194642808813
13420.388784722223,16173.05,11207.17,1044.542255734007
15197.09095766129,18782.19,11980.32,1343.101181020954
17609.055159722222,22193.98,13137.72,2024.6072159601756
18153.671893710056,21598.76,14775.15,1399.4582155064863
